cost,arr_time,sold_out,dep_time,dest_score,dep_score
162.8,0.513888889,0,0.229166667,0.691455496,1.007980522
121.8,0.013888889,0,0.798611111,1.142838947,1.007980522
121.8,0.055555556,0,0.770833333,1.142838947,1.007980522
146.8,0.03125,0,0.774305556,1.142838947,1.007980522
146.8,0.017361111,0,0.732638889,1.142838947,1.007980522
174.81,0.8125,0,0.590277778,1.142838947,1.007980522
215.79,0.454861111,0,0.229166667,1.142838947,1.007980522
215.79,0.822916667,0,0.579861111,1.142838947,1.007980522
215.79,0.729166667,0,0.40625,1.142838947,1.007980522
265.8,0.517361111,0,0.295138889,1.142838947,1.007980522
304.9,0.822916667,0,0.527777778,1.142838947,1.007980522
138.98,0.253472222,0,0.236111111,1.123990885,1.007980522
138.98,0.614583333,0,0.59375,1.123990885,1.007980522
138.98,0.895833333,0,0.875,1.123990885,1.007980522
178.8,0.972222222,0,0.885416667,1.123990885,1.007980522
178.8,0.631944444,0,0.527777778,1.123990885,1.007980522
178.8,0.381944444,0,0.270833333,1.123990885,1.007980522
178.8,0.701388889,0,0.590277778,1.123990885,1.007980522
178.8,0.972222222,0,0.84375,1.123990885,1.007980522
178.8,0.729166667,0,0.590277778,1.123990885,1.007980522
178.8,0.371527778,0,0.229166667,1.123990885,1.007980522
178.8,0.847222222,0,0.690972222,1.123990885,1.007980522
178.8,0.972222222,0,0.798611111,1.123990885,1.007980522
182.9,0.649305556,0,0.486111111,1.123990885,1.007980522
134.8,0.96875,0,0.756944444,1.094095697,1.007980522
134.8,0.548611111,0,0.222222222,1.094095697,1.007980522
151.8,0.017361111,0,0.798611111,1.094095697,1.007980522
151.8,0.017361111,0,0.760416667,1.094095697,1.007980522
163.98,0.597222222,0,0.4375,1.094095697,1.007980522
171.8,0.90625,0,0.625,1.094095697,1.007980522
171.8,0.875,0,0.552083333,1.094095697,1.007980522
171.8,0.017361111,0,0.690972222,1.094095697,1.007980522
183.97,0.677083333,0,0.513888889,1.094095697,1.007980522
252.9,0.815972222,0,0.527777778,1.094095697,1.007980522
281.8,0.479166667,0,0.229166667,1.094095697,1.007980522
281.8,0.736111111,0,0.40625,1.094095697,1.007980522
140.8,0.673611111,0,0.232638889,1.26296955,1.007980522
161.8,0.527777778,0,0.222222222,1.26296955,1.007980522
255.8,0.784722222,0,0.40625,1.26296955,1.007980522
259.9,0.951388889,0,0.625,1.26296955,1.007980522
259.9,0.673611111,0,0.270833333,1.26296955,1.007980522
322.9,0.784722222,0,0.243055556,1.26296955,1.007980522
350.91,0.052083333,0,0.430555556,1.26296955,1.007980522
359.11,0.052083333,0,0.284722222,1.26296955,1.007980522
206.8,0.024305556,0,0.774305556,0.581575385,1.007980522
292.8,0.690972222,0,0.40625,0.581575385,1.007980522
292.8,0.913194444,0,0.59375,0.581575385,1.007980522
151.8,0.975694444,0,0.770833333,0.777759351,1.007980522
151.8,0.489583333,0,0.222222222,0.777759351,1.007980522
172.3,0.71875,0,0.520833333,0.777759351,1.007980522
280.9,0.975694444,0,0.625,0.777759351,1.007980522
118.98,0.704861111,0,0.659722222,0.714247668,1.007980522
126.8,0.381944444,0,0.270833333,0.714247668,1.007980522
126.8,0.486111111,0,0.270833333,0.714247668,1.007980522
126.8,0.986111111,0,0.756944444,0.714247668,1.007980522
142.8,0.815972222,0,0.638888889,0.714247668,1.007980522
215.79,0.486111111,0,0.378472222,0.714247668,1.007980522
215.79,0.600694444,0,0.378472222,0.714247668,1.007980522
147.8,0.5,0,0.232638889,0.682704044,1.007980522
147.8,0.052083333,0,0.774305556,0.682704044,1.007980522
147.8,0.59375,0,0.232638889,0.682704044,1.007980522
172.79,0.996527778,0,0.732638889,0.682704044,1.007980522
172.79,0.927083333,0,0.513888889,0.682704044,1.007980522
284.8,0.701388889,0,0.40625,0.682704044,1.007980522
288.9,0.673611111,0,0.295138889,0.682704044,1.007980522
312.8,0.777777778,0,0.385416667,0.682704044,1.007980522
316.9,0.864583333,0,0.527777778,0.682704044,1.007980522
356.8,0.96875,0,0.59375,0.682704044,1.007980522
