inst#,actual,predicted,error
515,144.8,221.8,77
516,306.8,282.325,-24.475
517,140.8,136.3,-4.5
518,210.9,328,117.1
519,240.9,262.89,21.99
520,134.3,145.8,11.5
521,264.3,211.294,-53.006
522,233.8,274.183,40.383
523,309.99,182.8,-127.19
524,223.9,137.8,-86.1
525,223.9,189.85,-34.05
526,190.9,186.8,-4.1
527,261.8,199.8,-62
528,133.8,113.8,-20
529,183.97,185.085,1.115
530,363.9,281.9,-82
531,202.8,214.633,11.833
532,150.8,195.9,45.1
533,172.79,172.79,0
534,165.9,111.8,-54.1
535,300.8,325.5,24.7
536,158.8,183.386,24.586
537,144.8,146.85,2.05
538,191.8,227.8,36
539,263.91,198.575,-65.335
540,154.98,138.555,-16.425
541,93.98,139.502,45.522
542,208.9,195.8,-13.1
543,190.9,231.9,41
544,259.3,271.24,11.94
545,259.81,330.805,70.995
546,329.9,175.8,-154.1
547,167.8,151.436,-16.364
548,187.8,187.3,-0.5
549,154.8,185.381,30.581
550,189.8,199.3,9.5
551,186.8,197.098,10.298
552,209.8,209.8,0
553,239.8,148.383,-91.417
554,293.8,198.3,-95.5
555,170.8,172.44,1.64
556,103.8,171.8,68
557,133.89,157.006,23.116
558,181.4,200.7,19.3
559,288.9,178.963,-109.937
560,270.8,231.453,-39.347
561,162.8,120.89,-41.91
562,193.8,155.649,-38.151
563,199.8,229.9,30.1
564,109.8,120.345,10.545
565,218.8,218.26,-0.54
566,235.8,264.137,28.337
567,199.8,183.717,-16.083
568,263.98,252.52,-11.46
569,188.8,188.8,0
570,249.9,233.8,-16.1
571,238.8,236.817,-1.983
572,220,220,0
573,320.8,158.173,-162.627
574,211.8,215.9,4.1
575,91.8,91.8,0
576,181.8,185.9,4.1
577,132.8,136.9,4.1
578,352.8,338.35,-14.45
579,211.8,171.8,-40
580,179.8,234.729,54.929
581,345.81,254.214,-91.596
582,200.8,224.543,23.743
583,256.8,217.75,-39.05
584,160.3,136.5,-23.8
585,189.8,190.95,1.15
586,158.8,154.3,-4.5
587,207.8,257.833,50.033
588,252.8,193.8,-59
589,309.9,379.905,70.005
590,203.9,223.133,19.233
591,214.8,210.89,-3.91
592,126.8,126.8,0
593,168.9,164.8,-4.1
594,188.8,192.9,4.1
595,199.4,195.9,-3.5
596,325.9,94.98,-230.92
597,156.8,306.85,150.05
598,226.8,296.9,70.1
599,216.81,214.484,-2.326
600,228.8,228.8,0
601,168.98,237.937,68.957
602,174.9,262.44,87.54
603,261.7,175.3,-86.4
604,220.8,174.45,-46.35
605,86.98,172.79,85.81
606,256.9,197.9,-59
607,152.98,177.442,24.462
608,119.8,150.65,30.85
609,177.9,192.9,15
610,209.8,211.167,1.367
611,168.8,114.8,-54
612,186.3,124.029,-62.271
613,?,245.8,?
614,146.98,176.449,29.469
615,114.8,173.66,58.86
616,199.8,200.971,1.171
617,112.98,133.2,20.22
618,187.98,244.231,56.251
619,233.9,249.425,15.525
620,279.9,284,4.1
621,222.9,327.9,105
622,152.9,180.85,27.95
623,310.9,214.05,-96.85
624,425.9,278.9,-147
625,265.9,237.85,-28.05
626,123.98,132.955,8.975
627,141.8,161.8,20
628,169.8,190.667,20.867
629,266.9,223.88,-43.02
630,190.3,221.512,31.212
631,439.2,357.15,-82.05
632,186.8,187.825,1.025
633,216.9,216.9,0
634,206.8,207.8,1
635,280.8,309.35,28.55
636,133.89,159.293,25.403
637,327.64,276.03,-51.61
638,113.8,113.8,0
639,161.8,216.81,55.01
640,188.9,275.9,87
641,95.8,95.8,0
642,271.9,248.6,-23.3
643,256.8,269.8,13
644,295,309.95,14.95
645,178.8,226.9,48.1
646,219.8,255.014,35.214
647,118.8,133.697,14.897
648,180.9,221.125,40.225
649,121.98,182.616,60.636
650,172.79,177.133,4.343
651,355.1,359.2,4.1
652,177.8,175.55,-2.25
653,339.8,244.392,-95.408
654,297.9,195.217,-102.683
655,179.8,179.8,0
656,152.8,171.8,19
657,204.9,281.65,76.75
658,?,159.62,?
659,126.8,111.5,-15.3
660,280.8,310.8,30
661,279.14,313.14,34
662,160.8,179.075,18.275
663,328.9,266.587,-62.313
664,212.8,234.075,21.275
665,138.8,180.8,42
666,358.9,271.8,-87.1
667,218.9,207.9,-11
668,232,301.6,69.6
669,345.9,310.8,-35.1
670,231.8,213.263,-18.537
671,223.3,228.328,5.028
672,242.8,199.642,-43.158
673,215.3,219.8,4.5
674,126.98,114.8,-12.18
675,177.8,208.3,30.5
676,196.8,200.9,4.1
677,233.8,233.8,0
678,221.8,195.217,-26.583
679,178.3,182.8,4.5
680,244,185,-59
681,357.3,312.7,-44.6
682,269.9,384.9,115
683,102.98,107.647,4.667
684,230.8,175.714,-55.086
685,135.8,148.8,13
686,364.9,311.8,-53.1
687,223.8,145.297,-78.503
688,245.8,245.8,-0
689,206.9,177.5,-29.4
690,84.98,114.38,29.4
691,169.8,167.836,-1.964
692,70.98,70.98,0
693,224.8,109.8,-115
694,342.24,165.8,-176.44
695,276.9,212.1,-64.8
696,136.3,148.3,12
697,342.24,174.81,-167.43
698,199.8,219.8,20
699,164.8,172.733,7.933
700,293.9,167.078,-126.822
701,204.9,212.5,7.6
702,167.8,220.24,52.44
703,129.3,178.3,49
704,148.8,142.443,-6.357
705,300.8,215.35,-85.45
706,145.3,203.8,58.5
707,165.8,165.69,-0.11
708,207.8,206.8,-1
709,101.8,122.8,21
710,195.8,141.286,-54.514
711,192.3,210.575,18.275
712,325.8,260.81,-64.99
713,419.8,419.8,0
714,140.97,180.45,39.48
715,224.8,286.188,61.387
716,167.9,166.875,-1.025
717,202.8,157.497,-45.303
718,317.28,142.8,-174.48
719,172.79,148.8,-23.99
720,171.9,210.9,39
721,172.79,157.8,-14.99
722,80.98,92.147,11.167
723,296.8,225.467,-71.333
724,239.8,251.1,11.3
725,209.3,161.495,-47.805
726,165.8,182.657,16.857
727,206.8,208.3,1.5
728,?,256.8,?
729,206.9,284.95,78.05
730,113.98,137.3,23.32
731,138.8,93.587,-45.213
732,206.8,222.22,15.42
733,217.81,161.8,-56.01
734,298.8,195.3,-103.5
735,224.8,228.9,4.1
736,221.8,130.81,-90.99
737,197.8,197.8,0
738,198.8,198.8,0
739,221.8,150.115,-71.685
740,226.8,249.9,23.1
741,365,231.9,-133.1
742,225.8,229.9,4.1
743,153.8,153.8,0
744,285.9,187.8,-98.1
745,139.98,91.648,-48.332
746,240.9,255.45,14.55
747,175.8,184.04,8.24
748,133.3,160.914,27.614
749,211.8,215.9,4.1
750,222.9,278.08,55.18
751,141.8,141.8,0
752,186.9,192.8,5.9
753,426.9,278.3,-148.6
754,115.8,115.8,0
755,157.98,168.125,10.145
756,161.98,166.923,4.943
757,176.8,226.85,50.05
758,168.8,134.45,-34.35
759,339.9,261.8,-78.1
760,162.8,193.825,31.025
761,256.8,292.726,35.926
762,125.8,111.8,-14
763,233.3,166.8,-66.5
764,227.8,227.8,0
765,?,400.9,?
766,222.8,264.167,41.367
767,388.65,115.8,-272.85
