inst#,actual,predicted,error
304,263.2,204.749,-58.451
305,275.8,204.749,-71.051
306,199.8,204.749,4.949
307,228.8,204.749,-24.051
308,201.8,204.749,2.949
309,178.8,204.749,25.949
310,274.4,204.749,-69.651
311,173.4,204.749,31.349
312,338.9,204.749,-134.151
313,100.98,204.749,103.769
314,215.9,204.749,-11.151
315,182.8,204.749,21.949
316,138.8,204.749,65.949
317,102.98,204.749,101.769
318,154.8,204.749,49.949
319,236.8,204.749,-32.051
320,206.8,204.749,-2.051
321,161.8,204.749,42.949
322,375.9,204.749,-171.151
323,164.98,204.749,39.769
324,138.3,204.749,66.449
325,?,204.749,?
326,231.72,204.749,-26.971
327,236.9,204.749,-32.151
328,153.8,204.749,50.949
329,190.3,204.749,14.449
330,262.8,204.749,-58.051
331,190.9,204.749,13.849
332,170.98,204.749,33.769
333,124.8,204.749,79.949
334,226.4,204.749,-21.651
335,161.8,204.749,42.949
336,261.8,204.749,-57.051
337,178.8,204.749,25.949
338,226.4,204.749,-21.651
339,126.8,204.749,77.949
340,122.98,204.749,81.769
341,271.9,204.749,-67.151
342,217.81,204.749,-13.061
343,229.8,204.749,-25.051
344,167.8,204.749,36.949
345,210.3,204.749,-5.551
346,134.8,204.749,69.949
347,260.9,204.749,-56.151
348,405.9,204.749,-201.151
349,189.8,204.749,14.949
350,226.8,204.749,-22.051
351,169.8,204.749,34.949
352,192.8,204.749,11.949
353,243.2,204.749,-38.451
354,155.8,204.749,48.949
355,200.9,204.749,3.849
356,147.8,204.749,56.949
357,257.8,204.749,-53.051
358,211.8,204.749,-7.051
359,193.3,204.749,11.449
360,?,204.749,?
361,183.3,204.749,21.449
362,191.8,204.749,12.949
363,164.8,204.749,39.949
364,202.4,204.749,2.349
365,150.8,204.749,53.949
366,233.8,204.749,-29.051
367,244.8,204.749,-40.051
368,209.9,204.749,-5.151
369,92.8,204.749,111.949
370,209.8,204.749,-5.051
371,106.8,204.749,97.949
372,170.8,204.749,33.949
373,109.8,204.749,94.949
374,161.8,204.749,42.949
375,140.9,204.749,63.849
376,235.8,204.749,-31.051
377,243.9,204.749,-39.151
378,?,204.749,?
379,173.81,204.749,30.939
380,184.8,204.749,19.949
381,263.2,204.749,-58.451
382,263.2,204.749,-58.451
383,107.98,204.749,96.769
384,218.9,204.749,-14.151
385,236.8,204.749,-32.051
386,211.8,204.749,-7.051
