inst#,actual,predicted,error
475,97.8,199.868,102.068
476,298.31,201.007,-97.303
477,177.8,200.148,22.348
478,218.8,199.899,-18.901
479,208.9,195.499,-13.401
480,211.8,195.865,-15.935
481,325.8,238.483,-87.317
482,292.9,252.091,-40.809
483,444.2,200.554,-243.646
484,132.8,200.576,67.776
485,233.8,195.853,-37.947
486,123.8,207.562,83.762
487,203.8,194.947,-8.853
488,174.98,200.106,25.126
489,219.8,200.196,-19.604
490,110.8,207.923,97.123
491,316.9,200.62,-116.28
492,322.3,199.911,-122.389
493,171.98,199.85,27.87
494,153.8,200.258,46.458
495,162.8,199.276,36.476
496,135.8,199.916,64.116
497,237.9,199.457,-38.443
498,138.8,200.07,61.27
499,170.8,199.84,29.04
500,217.9,236.046,18.146
501,284.8,199.783,-85.017
502,181.9,208.016,26.116
503,143.8,199.397,55.597
504,92.98,208.007,115.027
505,199.8,196.567,-3.233
506,143.98,200.019,56.039
507,254.8,200.349,-54.451
508,172.79,199.951,27.161
509,?,208.647,?
510,300.8,239.186,-61.614
511,118.8,199.962,81.162
512,170.8,199.396,28.596
513,199.8,239.816,40.016
514,115.8,178.979,63.179
515,144.8,200.86,56.06
516,306.8,200.46,-106.34
517,140.8,195.783,54.983
518,210.9,201.026,-9.874
519,240.9,201.002,-39.898
520,134.3,200.59,66.29
521,264.3,199.861,-64.439
522,233.8,240.932,7.132
523,309.99,208.408,-101.582
524,223.9,256.811,32.911
525,223.9,208.102,-15.798
526,190.9,199.68,8.78
527,261.8,208.343,-53.457
528,133.8,196.285,62.485
529,183.97,196.303,12.333
530,363.9,252.112,-111.788
531,202.8,196.065,-6.735
532,150.8,200.16,49.36
533,172.79,200.607,27.817
534,165.9,199.903,34.003
535,300.8,238.616,-62.184
536,158.8,179.272,20.472
537,144.8,200.508,55.708
538,191.8,237.384,45.584
539,263.91,200.256,-63.654
540,154.98,200.043,45.063
541,93.98,195.967,101.987
542,208.9,200.382,-8.518
543,190.9,200.386,9.486
544,259.3,200.01,-59.29
545,259.81,239.446,-20.364
546,329.9,255.084,-74.816
547,167.8,237.318,69.518
548,187.8,208.438,20.638
549,154.8,200.247,45.447
550,189.8,200.193,10.393
551,186.8,199.818,13.018
552,209.8,200.337,-9.463
553,239.8,200.142,-39.658
554,293.8,236.739,-57.061
555,170.8,200.539,29.739
556,103.8,200.013,96.213
557,133.89,196.646,62.756
558,181.4,200.084,18.684
559,288.9,200.804,-88.096
560,270.8,200.144,-70.656
561,162.8,200.414,37.614
562,193.8,199.901,6.101
563,199.8,199.981,0.181
564,109.8,200.305,90.505
565,218.8,199.837,-18.963
566,235.8,200.219,-35.581
567,199.8,200.319,0.519
568,263.98,200.608,-63.372
569,188.8,200.129,11.329
570,249.9,200.817,-49.083
571,238.8,195.856,-42.944
572,220,200.753,-19.247
573,320.8,195.862,-124.938
574,211.8,200.273,-11.527
575,91.8,200.335,108.535
576,181.8,200.13,18.33
577,132.8,200.466,67.666
578,352.8,200.829,-151.971
579,211.8,200.303,-11.497
580,179.8,200.285,20.485
581,345.81,197.127,-148.683
582,200.8,207.359,6.559
583,256.8,200.042,-56.758
584,160.3,195.932,35.632
585,189.8,200.408,10.608
586,158.8,199.605,40.805
