inst#,actual,predicted,error
374,161.8,212.459,50.659
375,140.9,186.75,45.85
376,235.8,189.024,-46.776
377,243.9,198.275,-45.625
378,?,224.894,?
379,173.81,206.969,33.159
380,184.8,206.969,22.169
381,263.2,254.547,-8.653
382,263.2,254.547,-8.653
383,107.98,177.5,69.52
384,218.9,232.782,13.882
385,236.8,177.5,-59.3
386,211.8,186.75,-25.05
387,198.8,283.958,85.158
388,148.8,218.494,69.694
389,353.9,177.5,-176.4
390,233.8,177.5,-56.3
391,263.91,206.969,-56.941
392,267.9,203.208,-64.692
393,158.8,177.5,18.7
394,81.8,177.5,95.7
395,186.8,206.969,20.169
396,152.8,186.75,33.95
397,175.8,203.208,27.408
398,310.9,198.275,-112.625
399,148.8,177.5,28.7
400,211.8,186.75,-25.05
401,?,215.342,?
402,155.8,189.024,33.224
403,214.9,245.853,30.953
404,202.8,198.275,-4.525
405,382.9,249.82,-133.08
406,159.8,189.024,29.224
407,115.8,189.024,73.224
408,169.8,200.934,31.134
409,193.8,198.275,4.475
410,293.8,206.969,-86.831
411,139.8,203.208,63.408
412,204.8,189.024,-15.776
413,211.8,177.5,-34.3
414,166.8,189.024,22.224
415,313.8,189.024,-124.776
416,302.9,226.867,-76.033
417,254.5,267.185,12.685
418,154.8,189.024,34.224
419,267.8,213.37,-54.43
420,208.8,267.185,58.385
421,184.99,177.5,-7.49
422,281,226.19,-54.81
423,262.8,224.593,-38.207
424,192.98,206.969,13.989
425,171.8,189.024,17.224
426,147.8,203.208,55.408
427,331.8,245.113,-86.687
428,249.98,189.024,-60.956
429,136.8,198.275,61.475
430,230.8,224.894,-5.906
431,214.9,203.208,-11.692
432,216.9,206.969,-9.931
433,155.98,177.5,21.52
434,326.8,271.988,-54.812
435,367.3,186.75,-180.55
436,270.8,198.275,-72.525
437,207.8,234.145,26.345
438,114.8,189.024,74.224
439,163.8,218.494,54.694
440,206.8,189.024,-17.776
441,154.8,198.275,43.475
442,180.8,206.969,26.169
443,199.9,189.024,-10.876
444,199.9,206.969,7.069
445,301.9,203.208,-98.692
446,330.3,177.5,-152.8
447,151.8,191.684,39.884
448,172.79,198.275,25.485
449,229.8,215.342,-14.458
450,242.8,177.5,-65.3
451,162.8,206.969,44.169
452,241.8,198.275,-43.525
453,211.8,206.969,-4.831
